,0
Москва,37.617698 55.755864
Чебоксары,47.247728 56.139918
Санкт-Петербург,30.314997 59.938784
Владимир,40.406635 56.129057
Краснодар,38.975313 45.03547
Ростов-на-Дону,39.718813 47.222109
Воронеж,39.200296 51.660781
Казань,49.106414 55.796127
Нижний Новгород,44.006516 56.326797
Минск,27.561831 53.902284
Самара,50.100202 53.195878
Екатеринбург,60.597474 56.838011
Ташкент,69.279737 41.311158
Алматы,76.945654 43.237163
Белгород,36.587277 50.595414
Челябинск,61.402554 55.159902
Новосибирск,82.92043 55.030204
Владивосток,131.885494 43.115542
Рязань,39.737111 54.629221
Таганрог,38.936694 47.208735
Астана,71.430429 51.128201
Тбилиси,44.801561 41.693083
Балашиха,37.938118 55.797007
Подольск (Московская область),37.544997 55.431136
Кипр,33.149774 35.12823
Томск,84.947649 56.484645
Хабаровск,135.071917 48.480229
Химки,37.444853 55.889361
Тюмень,65.541227 57.152985
Сочи,39.723098 43.585472
Ижевск,53.2069 56.852676
Симферополь,34.100327 44.948237
Бишкек,74.603701 42.875969
Сербия,20.999207 43.655993
Красноярск,92.852581 56.010543
Смоленск,32.048054 54.782495
Саратов,46.034266 51.533562
Оренбург,55.097 51.768205
Псков,28.33246 57.819274
Ярославль,39.893813 57.626559
Великие Луки,30.515671 56.343703
Пермь,56.229443 58.010455
Свободный,128.134156 51.375889
Гомель,31.014281 52.42416
Рудный,63.133419 52.964454
Раменское,38.225004 55.567586
Иваново (Ивановская область),40.97393 57.000353
Майкоп,40.105852 44.606683
Магнитогорск,58.980291 53.407163
Уфа,55.958736 54.735152
Пенза,45.018316 53.195042
Брянск,34.363991 53.2434
Батуми,41.636267 41.651108
Щербинка,37.564554 55.501315
Саранск,45.183938 54.187433
Пушкино (Московская область),37.847164 56.011318
Мытищи,37.736743 55.909968
Иркутск,104.280606 52.289588
Армения,44.587906 40.636699
Южно-Сахалинск,142.729587 46.957771
Тольятти,49.420411 53.507852
Тула,37.617348 54.193122
Тамбов,41.45275 52.721295
Калининград,20.510137 54.710162
Ступино,38.078237 54.88628
Калуга,36.261341 54.513678
Омск,73.368221 54.989347
